publisher	country
Gräfe und Unzer	Germany
Modern Records	United States of America
Q1552531	Austria
Tectum Wissenschaftsverlag	Germany
Gustav Bosse Verlag	Germany
Gustav Fischer Verlag	Germany
Prestel Publishing	Germany
Reise Know-How	Germany
Q1559059	Austria
Q1560893	Germany
Gütersloher Verlagshaus	Germany
Faculty of Law of the University of Zagreb	Croatia
MairDumont	Germany
Verlag Gerhard Stalling	Germany
Luchterhand	Germany
HUCH!	Germany
Hachette Book Group	United States of America
Haffmans Verlag	Switzerland
Hahnsche Buchhandlung	Germany
Mindscape	United States of America
Q1571664	Germany
Higginbotham's	India
Spotlight Verlag	Germany
Ross-Verlag	Germany
Mongoose Publishing	United Kingdom
